LabelName
"Yosemite NP
Recreation Visits"

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AnnualTotal,Textbox4
1988,"94,583","109,552","153,436","190,484","362,008","404,321","477,167","502,674","385,509","292,886","144,254","99,807","3,216,681",2.0%
1987,"94,639","98,799","109,617","192,048","373,894","419,479","487,915","526,850","328,866","281,719","146,909","91,540","3,152,275",9.6%
1986,"92,835","74,133","114,441","152,019","291,811","362,173","439,823","522,908","340,843","245,733","151,081","88,917","2,876,717",1.6%
1985,"84,266","86,738","101,035","158,974","314,386","375,841","447,936","498,319","344,277","230,095","105,532","84,553","2,831,952",3.4%
1984,"75,894","83,589","102,049","147,755","276,877","363,876","414,711","494,860","370,899","217,730","101,528","88,699","2,738,467",11.4%
1983,"64,748","64,554","85,104","90,376","214,870","266,832","441,436","473,638","350,841","242,778","87,561","74,726","2,457,464",1.7%
1982,"60,817","68,307","70,702","73,259","254,169","363,303","425,198","432,776","303,673","206,821","85,193","71,369","2,415,587",-4.0%
1981,"60,669","90,274","83,104","152,469","282,531","337,392","404,269","438,123","313,946","190,612","95,862","67,642","2,516,893",1.1%
1980,"66,677","75,612","99,896","120,970","212,971","309,470","416,583","470,491","289,108","238,586","118,024","71,894","2,490,282",5.9%
1979,"72,701","72,926","87,950","136,275","210,756","301,727","379,640","427,454","293,424","193,825","99,485","74,619","2,350,782",

